text,label
"The area was once home to the Kumeyaay people. City father George Marston persuaded the San Diego City Council in 1899 to pass an ordinance preserving 364 acres of the pueblo land as a park. Later between 1908 and 1911, newspaperwoman and philanthropist Ellen Browning Scripps bought additional land and donated it to the city. In 1916, Guy Fleming visited the park and after examining the current condition, pushed for preservation of the park and eventually became the District Superintendent for the Southern California State Park System. The Torrey Pines Lodge was completed in 1923 and a year later, more lands were added to the park. Now consisting of over 1,000 acres of cliffs, beach, and more, the park became open to the public.did torrey pines park start out as a state reserve",1
"At the end of the 2015--16 season Aston Villa had spent 105 seasons in the top tier of English football; the only club to have spent longer in the top flight are Everton, with 114 seasons, making Aston Villa versus Everton the most-played fixture in English top-flight football. Aston Villa were relegated in from the top tier of English football in 2016, having played in every Premier League season since its establishment in 1992--93. They are seventh in the All-time FA Premier League table, and have the fifth highest total of major honours won by an English club with 21 wins.have aston villa ever won the premier league",1
"Mary Ellen (Judy Norton Taylor) is the oldest of Liv and John's daughters, born in April 1920, aged 13 in season one. Throughout the first few seasons, she is a typically whiny, sometimes rebellious teenager, somewhat of a tomboy who enjoys playing baseball, but could also be vain, engaging in a rivalry with rich-girl Martha-Rose Coverdale for the affections of the awkward G.W. Haines (David Doremus). Mary Ellen matures into a wiser young woman and her childish fantasy of becoming a movie star gives way for a more reasonable and realistic ambition to go into medicine after reading up on it and developing an interest. She then works to gain an education as a medical worker, and becomes a nurse. However, when she ends up taking care of the people out in the country by herself, she concludes they need more medical expertise than she can offer them and continues studying medicine until she succeeds in becoming a fully-fledged doctor. Even though some people frown upon female doctors and she receives mixed support from her family, she refuses to let this stop her. Mary Ellen has a special relationship with each of her six siblings, but she is especially close to her younger sister Erin. Mary Ellen and Erin fought a lot when they were younger girls, particularly in seasons 1 and 2. But in the middle seasons, Mary Ellen and Erin matured and became friends. In season 5 after Mary Ellen married Curt, her relationship with her sister deepened even further and by the end of the show, they truly did become each other's best friend.does mary ellen become a doctor on the waltons",1
"The Gulf War (2 August 1990 -- 28 February 1991), codenamed Operation Desert Shield (2 August 1990 -- 17 January 1991) for operations leading to the buildup of troops and defense of Saudi Arabia and Operation Desert Storm (17 January 1991 -- 28 February 1991) in its combat phase, was a war waged by coalition forces from 35 nations led by the United States against Iraq in response to Iraq's invasion and annexation of Kuwait.was the united states involved in desert storm yes no",1
"Another inconsistency involves the difference between legal ages for buying and selling alcoholic beverages. The legal age for purchase is 21, as in all U.S. states. However, the legal age for selling or serving alcoholic beverages in a licensed establishment is 20. In the case of packaged beer, the legal selling age is 18, as long as the person is supervised by someone who is at least 20.can you buy alcohol on your 21st birthday in kentucky",1
"Most areas in North America and Europe, and some areas in the Middle East, observe daylight saving time (DST), while most areas of Africa and Asia do not. In South America, most countries in the north of the continent near the equator do not observe DST, while Paraguay and southern parts of Brazil do. The practice of observing daylight saving time in Oceania is also mixed, with New Zealand and parts of southeastern Australia observing DST, while most other areas do not.does daylight saving happen all over the world",0
"Possession of destructive devices, automatic firearms (machine guns), short-barrel shotguns (SBS), short-barrel rifles (SBR), suppressors, smoothbore pistols and other such NFA-restricted weapons is permitted by Texas law as long the owner has registered the item(s) into the NFA registry. This registration is legal if the owner possesses the proper forms, processed in accordance with the National Firearms Act which includes a paid tax stamp and approval by the NFA branch of the BATFE.can you own fully automatic weapons in texas",1
"A music video for ``Tear in My Heart'' was uploaded to YouTube on April 6, 2015 and was directed by Marc Klasfeld. In addition to both band members, lead singer Tyler Joseph's wife Jenna, who he married the previous month, also appears in the music video.is jenna joseph in tear in my heart",1
"Binucleated cells are cells that contain two nuclei. This type of cell is most commonly found in cancer cells and may arise from a variety of causes. Binucleation can be easily visualized through staining and microscopy. In general, binucleation has negative effects on cell viability and subsequent mitosis.is it possible for a cell to have two nuclei",1
"Watermelons are a sweet, popular fruit of summer, usually consumed fresh in slices, diced in mixed fruit salads, or as juice. Watermelon juice can be blended with other fruit juices or made into wine.is there such a thing as watermelon wine",1
"Address fraud has been committed by parents attempting to get their children into a public school in a jurisdiction other than where they live. Public school systems generally require their students to live in the municipality by which they are operated, and giving this false information in order to attend the schools constitutes this crime.is it illegal to let someone use your address for school",1
"The Selective Service System is an independent agency of the United States government that maintains information on those potentially subject to military conscription. Virtually all male U.S. citizens and male immigrant non-citizens between the ages of 18 and 25 are required by law to have registered within 30 days of their 18th birthdays and must notify Selective Service within ten days of any changes to any of the information they provided on their registration cards, like a change of address. A 2010 Government Accountability Office report estimated the registration rate at 92% with the names and addresses of over 16.2 million men on file. However, the only audit of the addresses of registrants on file with the Selective Service System, in 1982, found that 20--40% of the addresses on file with the Selective Service System for registrants in the age groups that would be drafted first were already outdated, and up to 75% for those registrants in their last year of potential eligibility to be drafted would be invalid.are you required to sign up for the draft",1
"The Bridge of the Americas (Spanish: Puente de las Américas; originally known as the Thatcher Ferry Bridge) is a road bridge in Panama, which spans the Pacific entrance to the Panama Canal. Designed by Sverdrup & Parcel, it was completed in 1962 at a cost of US$20 million, connecting the north and south American land masses. Two other bridges cross the canal: the Atlantic Bridge at the Gatun locks (expected 2018) and the Centennial Bridge.is there a bridge over the panama canal",1
"Canadian English contains major elements of both British English and American English, as well as many uniquely Canadian characteristics. While, broadly speaking, Canadian English tends to be closest to American English in terms of linguistic distance, the precise influence of American English, British English and other sources on Canadian English varieties has been the ongoing focus of systematic studies since the 1950s.is british english the same as canadian english",0
"Moore County, where the Jack Daniel's distillery is located, is one of the state's many dry counties. While it is legal to distill the product within the county, it is illegal to purchase it there. However, a state law has provided one exception: a distillery may sell one commemorative product, regardless of county statutes. Jack Daniel's now sells Gentleman Jack, Jack Daniel's Single Barrel, the original No. 7 blend (in a commemorative bottle), and a seasonal blend (on rotation) at the distillery's White Rabbit Bottle Shop.is the county where jack daniels is made dry",1
"The area includes two metropolitan statistical areas designated by the Office of Management and Budget and used for statistical purposes by the Census Bureau and other agencies: the Port St. Lucie, Florida Metropolitan Statistical Area (comprising St. Lucie and Martin counties) and the Sebastian--Vero Beach, Florida Metropolitan Statistical Area (comprising Indian River County). Palm Beach county is part of the Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area.is vero beach part of the treasure coast",1
"Retailers like GameStop and Amazon.com discovered in the early 2000s that the pre-ordering mechanism helped with forecasts, as they could order a reasonable number of copies of new games based on pre-order interest, which, in turn, helped publishers to determine how many physical units to create. Then, pre-orders were usually placed by providing the vendor with a small percentage of the game's cost to hold their reservation (such as $5 or $10 on a $50 game), with assurances they would receive their copy on release day after paying the remaining balance. Retailers would be able to use pre-order money towards other investments, effectively accruing some interest on the pre-order fee.do you have to pay for pre order games",1
"Voting rights of United States citizens in Puerto Rico, like the voting rights of residents of other United States territories, differ from those of United States citizens in each of the fifty states and the District of Columbia. Residents of Puerto Rico and other U.S. territories do not have voting representation in the United States Congress, and are not entitled to electoral votes for President. The United States Constitution grants congressional voting representation to U.S. states, which Puerto Rico and other U.S. territories are not, specifying that members of Congress shall be elected by direct popular vote and that the President and the Vice President shall be elected by electors chosen by the States.can residents of puerto rico vote for president",0
"During the climactic battle, Hagrid attempts to come to the defence of Aragog's carnivorous children, who have been driven out of the Forbidden Forest by the Death Eaters and are now attacking both Hogwarts defenders and Death Eaters indiscriminately, but he is carried off by a swarm of them. He later turns up, captive in the Death Eaters' camp, when Harry sacrifices himself to Voldemort. Hagrid is forced to carry Harry back to the school, not realising that Harry has survived again, and en route accuses the watching Centaurs of not doing enough to help. The Centaurs soon afterward join the fray and Hagrid takes part in the second half of the battle, felling his main nemesis among the Death Eaters, the magical-creature executioner Walden Macnair.does hagrid die in harry potter and the deathly hallows",0
"Damon wakes up chained on the Salvatore house's basement. Stefan is there and Damon tries to warn him that because of his cravings, one day he will kill him but Stefan tells him that they will find a solution. Damon points to Stefan that ``Elena'' provoked him to feed on her and then she kicked a stake towards him so he will kill him. Stefan does not believe that Elena would want that, he locks Damon up and gets upstairs where Caroline is. The two of them discuss what happened between Stefan and ``Elena'' and Caroline also tells him about Nadia and Matt and the text he sent to her. From Matt's text, who used ``K'' and not ``E'', they put the pieces together and they realize that Katherine is in Elena's body.do they find out that katherine is in elena's body",1
"High-altitude cooking is cooking done at altitudes that are considerably higher than sea level. At elevated altitudes, any cooking that involves boiling or steaming generally requires compensation for lower temperatures because the boiling point of water is lower at higher altitudes due to the decreased atmospheric pressure. The effect starts to become relevant at altitudes above approximately 2,000 feet (610 m). Means of compensation include extending cooking times or using a pressure cooker to provide higher pressure inside the cooking vessel and hence higher temperatures.does altitude change the boiling point of water",1
"In May 2017, the series was renewed for a seventh season consisting of 22 episodes, which marks the beginning of a soft reboot. The new setting takes place years later in the Seattle, Washington neighborhood of Hyperion Heights where Lucy (Alison Fernandez) arrives with her Once Upon a Time book to find her father Henry Mills (Andrew J. West) who is needed by his family. The inhabitants of Hyperion Heights are inhabitants of an alternative Enchanted Forest who were brought there by another Dark Curse. Businesswoman Victoria Belfry (Gabrielle Anwar) plans to take over Hyperion Heights and revive her daughter Anastasia.is there going to be a season 7 of once upon a tome",1
"Events tied to Cinco de Mayo also occur outside Mexico and the United States. As in the United States, celebrations elsewhere also emphasize Mexican cuisine, culture and music. For example, Windsor, Ontario, Canada, holds a ``Cinco de Mayo Street Festival'', some Canadian pubs play Mexican music and serve Mexican food and drink, and a sky-diving club near Vancouver holds a Cinco de Mayo skydiving event. In the Cayman Islands, in the Caribbean, there is an annual Cinco de Mayo air guitar competition, and at Montego Bay, Jamaica, there is a Cinco de Mayo celebration. The city of Brisbane, Queensland, Australia, holds an annual Mexican Festival to honor the day, and celebrations are held in London and New Zealand. Other celebrations of the day can also be found in Cape Town, South Africa, Lagos, Nigeria, and in Paris. Cinco de Mayo is celebrated in Japan in Osaka and in Tokyo's Yoyogi Park Event Space as a celebration of Latin American culture.do they celebrate cinco de mayo in canada",1
"The Battle of Thermopylae has remained a cultural icon of western civilization ever since it was fought. The battle is revisited in countless adages and works of popular culture, such as in films (e.g., The 300 Spartans (1962) and 300 (2007), based on the events during and close to the time of the battle), in literature, in song, in television programs, and in video games. The battle is also discussed in many articles and books on the theory and practice of warfare.was the movie 300 based on real events",1
"There is no law that prohibits batons; except for spring-loaded batons, which are defined as a prohibited weapon under a regulation entitled ``Regulations Prescribing Certain Firearms and other Weapons, Components and Parts of Weapons, Accessories, Cartridge Magazines, Ammunition and Projectiles as Prohibited or Restricted'' (also capable of being referred to by its registration number: SOR 98--462). However, it is a crime under section 90 of the Criminal Code to carry any weapon, including a baton, in a concealed fashion.is it legal to carry a baton in ontario",1
"The group was won by England, who qualified for the 2010 FIFA World Cup. The runners-up Ukraine entered the UEFA play-off stage.did england qualify for the world cup 2010",1
Sand theft or unauthorised or illegal sand mining leads to a widely unknown global example of natural and non-renewable resource depletion problem comparable in extent to global water scarcity. Beach theft is illegal removal of large quantities of sand from a beach leading to full or partial disappearance of the beach.is it illegal to get sand from the beach,1
"Kilju (Finnish pronunciation: (ˈkilju)) is a folksy name for a Finnish home-made alcoholic beverage, in English also known as sugar wine. It is mostly made from sugar, yeast, and water. Its alcohol content is usually 15--17% ABV.can you make alcohol with just water sugar and yeast",1
"The seventh season of the American ABC fantasy-drama Once Upon a Time was ordered on May 11, 2017. It consisted of 22 episodes, airing on Fridays, having premiered on October 6, 2017.is once upon a time making season 7",1
State Center had its start in the year 1864 by the building of the railroad through that territory. It was named for its location near the geographical center of the state.is state center iowa the center of the state,1
"Employment as of 2014 was 149,000 people employed in iron and steel mills, and 69,000 in foundries. The value of iron and steel produced in 2014 was $113 billion.are there any steel mills left in the us",1
"In the United States, move over laws are aimed at protecting emergency responders working along the roadside. All fifty states have passed the laws, which were promoted in response to increasing roadside fatalities in the line of duty. The laws require drivers, upon noticing either emergency vehicle with sirens and/or flashing lights, to move away from the vehicle by one lane, or if that is not possible, slow down to either a reasonable speed or a fixed speed below the limit as defined by local law. This includes law enforcement vehicles, fire trucks and ambulances. In New York State, drivers must use due care when approaching an emergency vehicle that displays red and/or white emergency lighting such as law enforcement vehicles, fire trucks and ambulances and also vehicles with flashing amber lighting such as tow trucks, construction vehicles and other service workers stopped along the side of the road while performing their duties.do you need to pull over for emergency vehicles",1
"In a new U.S. Senate hearing, Dr. Malcolm declares the beginning of a Neo-Jurassic Age where humans and dinosaurs must learn to coexist. The closing scenes show the freed dinosaurs roaming wilderness and outer urban areas.does jurrassic world fallen kingdom have a post credits scene",0
"Brown bears are found in Asia, Europe, and North America, giving them the widest ranges of bear species. They also inhabited North Africa and the Middle East. In North America, grizzly bears previously ranged from Alaska down to Mexico and as far east as the western shores of Hudson Bay; the species is now found in Alaska, south through much of western Canada, and into portions of the northwestern United States (including Idaho, Montana, Washington, and Wyoming), extending as far south as Yellowstone and Grand Teton National Parks. It is most commonly found in Canada. In Canada, there are approximately 25,000 grizzly bears occupying British Columbia, Alberta, the Yukon, the Northwest Territories, Nunavut, and the northern part of Manitoba. An article published in 1954 suggested they may be present in the tundra areas of the Ungava Peninsula and the northern tip of Labrador-Quebec. In British Columbia, grizzly bears inhabit approximately 90% of their original territory. There were approximately 25,000 grizzly bears in British Columbia when the European settlers arrived. However, population size has since significantly decreased due to hunting and habitat loss. In 2003, researchers from the University of Alberta spotted a grizzly on Melville Island in the high Arctic, which is the most northerly sighting ever documented. In 2008, it was estimated there were 16,014 grizzly bears. Population estimates for British Columbia are based on hair-snagging, DNA-based inventories, mark-and-recapture, and a refined multiple regression model. A revised Grizzly bear count in 2012 for British Columbia was 15,075.are there grizzly bears on the east coast",1
"The university has come under criticism for the number of students it accepts from private schools; for instance, Laura Spence's rejection from the university in 2000 led to widespread debate. In 2016, the University of Oxford gave 59% of offers to UK students to students from state schools, while about 93% of all UK pupils and 86% of post-16 UK pupils are educated in state schools. However, 64% of UK applicants were from state schools and the university notes that state school students apply disproportionately to oversubscribed subjects. Oxford University spends over £6 million per year on outreach programs to encourage applicants from underrepresented demographics.is university of oxford and oxford university the same",1
"The reactions are due to collisions of reactant species. The frequency with which the molecules or ions collide depends upon their concentrations. The more crowded the molecules are, the more likely they are to collide and react with one another. Thus, an increase in the concentrations of the reactants will usually result in the corresponding increase in the reaction rate, while a decrease in the concentrations will usually have a reverse effect. For example, combustion will occur more rapidly in pure oxygen than in air (21% oxygen).are chemical reactions limited by the availability of reactants",1
"Today, all but three major-league teams have ``official'' mascots (Dodgers, Yankees, and Angels). Five team mascots -- Sluggerrr (Kansas City Royals), the San Diego Chicken, the Phillie Phanatic, Mr. Met, and Slider (Cleveland Indians) -- have been inducted into the Mascot Hall of Fame. Several others have been nominated since the Hall's creation in 2005.do the new york yankees have a mascot",0
"A Pacific hurricane is a mature tropical cyclone that develops within the eastern and central Pacific Ocean to the east of 180°W, north of the equator. For tropical cyclone warning purposes, the northern Pacific is divided into three regions: the eastern (North America to 140°W), central (140°W to 180°), and western (180° to 100°E), while the southern Pacific is divided into 2 sections, the Australian region (90E to 160°E) and the southern Pacific basin between 160°E and 120°W. Identical phenomena in the western north Pacific are called typhoons. This separation between the two basins has a practical convenience, however, as tropical cyclones rarely form in the central north Pacific due to high vertical wind shear, and few cross the dateline.can there be a hurricane in the pacific ocean",1
"The right of self-defense (also called, when it applies to the defense of another, alter ego defense, defense of others, defense of a third person) is the right for people to use reasonable force or defensive force, for the purpose of defending one's own life (self-defense) or the lives of others, including --in certain circumstances-- the use of deadly force.do i have the right to defend myself",1
"The legal status of an ICE motorized bicycle in the United States is presently determined by the laws of each state and/or local jurisdiction. Several states allow ICE motorbikes to be operated on roadways without registration, tax, or licensing in the same manner as bicycles, providing certain restrictions are observed. Many state jurisdictions use limits on top speed and/or engine displacement to determine if ICE motorized bicycles require registration and licensing--sometimes as mopeds, sometimes as motorcycles. Some states prohibit the use of motorbikes on multi-use recreational paths or high-speed, limited access roadways, while others require additional safety equipment for operation on public roads, such as wearing a helmet. Many United States cities and other local jurisdictions may impose additional restrictions upon ICE motorized bicycles when operated on public streets and roadways.is it illegal to put an engine on a bicycle",0
"The scientific usage of the term ``berry'' differs from common usage. In scientific terminology, a berry is a fruit produced from the ovary of a single flower in which the outer layer of the ovary wall develops into an edible fleshy portion (pericarp). The definition includes many fruits that are not commonly known as berries, such as grapes, tomatoes, cucumbers, eggplants, bananas, and chili peppers. Fruits excluded by the botanical definition include strawberries, raspberries, and blackberries, which are aggregate fruits; and mulberries, which are multiple fruits. A plant bearing berries is said to be bacciferous or baccate.is a banana part of the berry family",1
"The FSM was formerly a part of the Trust Territory of the Pacific Islands (TTPI), a United Nations Trust Territory under U.S. administration, but it formed its own constitutional government on May 10, 1979, becoming a sovereign state after independence was attained on November 3, 1986 under a Compact of Free Association with the United States. Other neighboring island entities, and also former members of the TTPI, formulated their own constitutional governments and became the Republic of the Marshall Islands (RMI) and the Republic of Palau (ROP). The FSM has a seat in the United Nations.is the federated states of micronesia a us territory",0
"The Stars have won eight division titles in Dallas, two Presidents' Trophies as the top regular season team in the NHL, the Western Conference championship twice, and in 1998--99, the Stanley Cup. Joe Nieuwendyk won the Conn Smythe Trophy as the most valuable player of the playoffs that year.have the dallas stars won a stanley cup",1
"A binary search tree is a rooted binary tree, whose internal nodes each store a key (and optionally, an associated value) and each have two distinguished sub-trees, commonly denoted left and right. The tree additionally satisfies the binary search property, which states that the key in each node must be greater than or equal to any key stored in the left sub-tree, and less than or equal to any key stored in the right sub-tree. The leaves (final nodes) of the tree contain no key and have no structure to distinguish them from one another.is a binary tree a binary search tree",0
"A shoot-out is usually considered for statistical purposes to be separate from the match which preceded it. In the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss; in the case of a single match, it is still considered as a draw. This contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. Converted shoot-out penalties are not considered as goals scored by a player for the purposes of their individual records, or for ``golden boot'' competitions.does a penalty shoot out goal count towards the golden boot",0
"Cornus florida, the flowering dogwood, is a species of flowering plant in the family Cornaceae native to eastern North America and northern Mexico. An endemic population once spanned from southernmost coastal Maine south to northern Florida and west to the Mississippi River. The tree is commonly planted as an ornamental in residential and public areas because of its showy bracts and interesting bark structure.do dogwood trees grow in the middle east",0
"Phytoplankton /ˌfaɪtoʊˈplæŋktən/ are the autotrophic (self-feeding) components of the plankton community and a key part of oceans, seas and freshwater basin ecosystems. The name comes from the Greek words φυτόν (phyton), meaning ``plant'', and πλαγκτός (planktos), meaning ``wanderer'' or ``drifter''. Most phytoplankton are too small to be individually seen with the unaided eye. However, when present in high enough numbers, some varieties may be noticeable as colored patches on the water surface due to the presence of chlorophyll within their cells and accessory pigments (such as phycobiliproteins or xanthophylls) in some species.phytoplankton are heterotrophs which depend on autotrophs for nutrition",0
"In baseball, hit by pitch (HBP) is a situation in which a batter or his clothing or equipment (other than his bat) is struck directly by a pitch from the pitcher; the batter is called a hit batsman (HB). A hit batsman is awarded first base, provided that (in the plate umpire's judgment) he made an honest effort to avoid the pitch, although failure to do so is rarely called by an umpire. Being hit by a pitch is often caused by a batter standing too close to, or ``crowding'', home plate.do you have to get out of the way of a pitch",1
"In the United States, beverages containing less than 0.5% alcohol by volume (ABV) were legally called non-alcoholic, according to the now-defunct Volstead Act. Because of its very low alcohol content, non-alcoholic beer may be legally sold to minors in many American states.is there an age limit to buy non alcoholic beer",0
"The Fever Code is a 2016 young adult dystopian science fiction novel written by American author James Dashner and published on September 27, 2016 by Delacorte Press. It is the second prequel book in The Maze Runner series and the fifth and final installment overall. The book is chronologically set in between the events of The Kill Order and The Maze Runner.is the fever code part of the maze runner series",1
"A few of the jackets seen on the street are genuine navy surplus; being a classic garment, it is frequently available from retailers, though often with small design changes that reflect the current fashion trends. The standard for historical pea coats was 30 ounces (approx. 850 g) wool, most often made of heavy Melton cloth through the 1970s in the U.S. Navy. Presently coats are made from 22--32 oz (620--910 g) wool. While pea coats are offered in many colors by retailers, the US Navy-issue pea coat is dark blue.does the us navy still issue pea coats",1
"Most of Facebook's acquisitions have primarily been ``talent acquisitions'' and acquired products are often shut-down. Facebook CEO Mark Zuckerberg has stated in 2010 that ``We have not once bought a company for the company. We buy companies to get excellent people... In order to have a really entrepreneurial culture one of the key things is to make sure we're recruiting the best people. One of the ways to do this is to focus on acquiring great companies with great founders.'' The Instagram acquisition, announced on 2012-04-09, appears to have been the first exception to this pattern. While continuing with a pattern of primarily talent acquisitions, other notable product focused acquisitions include the $19 billion WhatsApp acquisition and the $2 billion Oculus VR acquisition.is facebook and instagram owned by the same company",1
"The Appalachian Mountains (French: les Appalaches), often called the Appalachians, are a system of mountains in eastern North America. The Appalachians first formed roughly 480 million years ago during the Ordovician Period. They once reached elevations similar to those of the Alps and the Rocky Mountains before experiencing natural erosion. The Appalachian chain is a barrier to east-west travel, as it forms a series of alternating ridgelines and valleys oriented in opposition to most highways and railroads running east-west.are the rocky mountains higher than the appalachians",1
"A clip is a device that is used to store multiple rounds of ammunition together as a unit, ready for insertion into the magazine or cylinder of a firearm. This speeds up the process of loading and reloading the firearm as several rounds can be loaded at once, rather than one round being loaded at a time. Several different types of clips exist, most of which are made of inexpensive stamped sheet metal and are intended to be disposable, though they are often re-used. Charging clips has no moving parts and is usually made of stamped sheet metal. Detachable magazines are often incorrectly referred to as clips.is a clip and a magazine the same thing",0
"The NFL's cap is a hard cap that the teams have to stay under at all times, and the salary floor is also a hard floor. Penalties for violating or circumventing the cap regulations include fines of up to $5 million for each violation, cancellation of contracts and/or loss of draft picks. Violating the salary floor regulations does not result in any fines or competitive penalties; instead, deficiencies are placed into a pool and distributed among all players who were on the regular roster of the offending team during a four-year floor cycle, prorated according to time on the roster in said period.does each nfl team have the same salary cap",1
"Belgium have appeared in the finals tournament of the FIFA World Cup on 13 occasions, the first being at the first FIFA World Cup in 1930 where they finished in 11th place. The inaugural FIFA World Cup final was officiated by Belgian referee John Langenus.has belgium ever won a world cup final",1
"The Republic of Korea (commonly known as South Korea) and the Democratic People's Republic of Korea (commonly known as North Korea) were simultaneously admitted to the United Nations (UN) in 1991. On 8 August 1991, the UN Security Council passed United Nations Security Council Resolution 702, recommending both states to the UN General Assembly for membership. On 17 September 1991, the General Assembly admitted both countries under Resolution 46/1.does north korea have a seat at the un",1
"In a college or university in the United States, students generally receive credit hours based on the number of ``contact hours'' per week in class, for one term; more well known as Semester Credit Hours. A contact hour includes any lecture or lab time when the professor is teaching the student or coaching the student while they apply the course information to an activity. Regardless of the duration of the course (i.e. a short semester like summer or intersession) and depending on the state or jurisdiction, a semester credit hour (SCH) is 15-16 contact hours per semester. Most college and university courses are 3 Semester Credit Hours (SCH) or 45-48 contact hours, so they usually meet for three hours per week over a 15-week semester.is a credit hour the same as a semester hour",1
"Cows routinely lie down and can easily regain their footing unless sick or injured. Scientific studies have been conducted to determine if cow tipping is theoretically possible, with varying conclusions. All agree that cows are large animals that are difficult to surprise and will generally resist attempts to be tipped. Estimates suggest a force of between 3,000 and 4,000 newtons (670 and 900 pounds-force) is needed, and that at least four and possibly as many as fourteen people would be required to achieve this. In real-life situations where cattle have to be laid on the ground, or ``cast'', such as for branding, hoof care or veterinary treatment, either rope restraints are required or specialized mechanical equipment is used that confines the cow and then tips it over. On rare occasions, cattle can lie down or fall down in proximity to a ditch or hill that restricts their normal ability to rise without help. Cow tipping has many references in popular culture and is also used as a figure of speech.can cows get up after being tipped over",1
"Planned to open in 2020, the stadium will serve as the home to the Los Angeles Rams and Los Angeles Chargers of the National Football League (NFL). It is also scheduled to host Super Bowl LVI in February 2022 and the College Football Playoff National Championship in January 2023. During the 2028 Summer Olympics, the stadium is expected to host the opening ceremony and soccer. Archery will be held on the grounds outside the stadium.are the rams and chargers going to share a stadium",1
"A table of contents usually includes the titles or descriptions of the first-level headers, such as chapter titles in longer works, and often includes second-level or section titles (A-heads) within the chapters as well, and occasionally even third-level titles (subsections or B-heads). The depth of detail in tables of contents depends on the length of the work, with longer works having less. Formal reports (ten or more pages and being too long to put into a memo or letter) also have a table of contents. Within an English-language book, the table of contents usually appears after the title page, copyright notices, and, in technical journals, the abstract; and before any lists of tables or figures, the foreword, and the preface.do you include the title page in a table of contents",0
"It is a felony to assault or kill a federal law enforcement animal, and it is a crime in most states to assault or kill a police animal. Yet despite common belief , police dogs are not treated as police officers for the purpose of the law, and attacking a police dog is not punishable in the same manner as attacking a police officer. Though many police departments formally swear dogs in as police officers, this swearing-in is purely honorary, and carries no legal significance.are police dogs considered officers of the law",0
